loc,loc_,loc_pair
Liaquat Bagh,882.0,"('Liaquat Bagh', 882.0)"
Khayaban-e-Sir Syed,816.0,"('Khayaban-e-Sir Syed', 816.0)"
Zamzama,1499.0,"('Zamzama', 1499.0)"
Gulshan-e-Usman Housing Society,612.0,"('Gulshan-e-Usman Housing Society', 612.0)"
Liaquatabad,885.0,"('Liaquatabad', 885.0)"
Garden West,510.0,"('Garden West', 510.0)"
Palm Villas,1111.0,"('Palm Villas', 1111.0)"
Islampura,703.0,"('Islampura', 703.0)"
Mansoorah,926.0,"('Mansoorah', 926.0)"
Marghzar Officers Colony,930.0,"('Marghzar Officers Colony', 930.0)"
Mughalpura,984.0,"('Mughalpura', 984.0)"
Saggian,1254.0,"('Saggian', 1254.0)"
Rasool Park,1196.0,"('Rasool Park', 1196.0)"
Shoukat Town,1354.0,"('Shoukat Town', 1354.0)"
Al Hamra Town,67.0,"('Al Hamra Town', 67.0)"
Badami Bagh,188.0,"('Badami Bagh', 188.0)"
Gulistan Colony,569.0,"('Gulistan Colony', 569.0)"
Lahore Motorway City,856.0,"('Lahore Motorway City', 856.0)"
OPF Housing Scheme,1071.0,"('OPF Housing Scheme', 1071.0)"
Dharampura,375.0,"('Dharampura', 375.0)"
Ferozepur Road,479.0,"('Ferozepur Road', 479.0)"
Township,1441.0,"('Township', 1441.0)"
Babu Sabu,186.0,"('Babu Sabu', 186.0)"
Al Kareem Garden,73.0,"('Al Kareem Garden', 73.0)"
Nawab Town,1028.0,"('Nawab Town', 1028.0)"
Gulberg Town,563.0,"('Gulberg Town', 563.0)"
Chapal Uptown,298.0,"('Chapal Uptown', 298.0)"
I-14,668.0,"('I-14', 668.0)"
Tarlai,1422.0,"('Tarlai', 1422.0)"
Simly Dam Road,1362.0,"('Simly Dam Road', 1362.0)"
I-9,671.0,"('I-9', 671.0)"
Burma Town,249.0,"('Burma Town', 249.0)"
Naval Anchorage,1022.0,"('Naval Anchorage', 1022.0)"
Islamabad Highway,699.0,"('Islamabad Highway', 699.0)"
CBR Town,253.0,"('CBR Town', 253.0)"
The Springs,1433.0,"('The Springs', 1433.0)"
