loc,loc_,loc_pair
Khayaban-e-Zohra,818.0,"('Khayaban-e-Zohra', 818.0)"
Dilawar Colony,404.0,"('Dilawar Colony', 404.0)"
Lawyers Housing Society,877.0,"('Lawyers Housing Society', 877.0)"
Hall Road,636.0,"('Hall Road', 636.0)"
Victoria Heights,1462.0,"('Victoria Heights', 1462.0)"
Jamal Homes,718.0,"('Jamal Homes', 718.0)"
"Islamabad, Islamabad Capital",701.0,"('Islamabad, Islamabad Capital', 701.0)"
Alhamra Avenue,104.0,"('Alhamra Avenue', 104.0)"
Diglus Pura,402.0,"('Diglus Pura', 402.0)"
Gulshan Rehman,583.0,"('Gulshan Rehman', 583.0)"
Mian Zulfiqar Ali Shahid Road,955.0,"('Mian Zulfiqar Ali Shahid Road', 955.0)"
Akbar Colony,59.0,"('Akbar Colony', 59.0)"
Saiden Shah Colony,1258.0,"('Saiden Shah Colony', 1258.0)"
Hassan Goth,646.0,"('Hassan Goth', 646.0)"
Rang Mahal,1190.0,"('Rang Mahal', 1190.0)"
Naveed Garden,1026.0,"('Naveed Garden', 1026.0)"
Muzaffar Colony,1001.0,"('Muzaffar Colony', 1001.0)"
Madar-e-Millat Road,896.0,"('Madar-e-Millat Road', 896.0)"
Garja,512.0,"('Garja', 512.0)"
Islamabad View Valley,700.0,"('Islamabad View Valley', 700.0)"
Gulshan-E-Iqbal,587.0,"('Gulshan-E-Iqbal', 587.0)"
Al Madina Avenue,74.0,"('Al Madina Avenue', 74.0)"
"Karachi, Sindh",779.0,"('Karachi, Sindh', 779.0)"
Lakshmi Chowk,863.0,"('Lakshmi Chowk', 863.0)"
Park View,1116.0,"('Park View', 1116.0)"
Naseerabad,1014.0,"('Naseerabad', 1014.0)"
Urdu Bazar,1457.0,"('Urdu Bazar', 1457.0)"
New Airport Town,1042.0,"('New Airport Town', 1042.0)"
Burj Mandi,248.0,"('Burj Mandi', 248.0)"
Muqaddas Park,992.0,"('Muqaddas Park', 992.0)"
Hoshang Road,659.0,"('Hoshang Road', 659.0)"
Gul Colony,556.0,"('Gul Colony', 556.0)"
Noor Jahan Road,1064.0,"('Noor Jahan Road', 1064.0)"
Al-Jannat Housing Society - Kahna,94.0,"('Al-Jannat Housing Society - Kahna', 94.0)"
Goth Ibrahim Haidri,539.0,"('Goth Ibrahim Haidri', 539.0)"
Darul Aman Society,358.0,"('Darul Aman Society', 358.0)"
Shahtaj Colony,1328.0,"('Shahtaj Colony', 1328.0)"
Gulshan Farooq Scheme,581.0,"('Gulshan Farooq Scheme', 581.0)"
Agro Farming Scheme,36.0,"('Agro Farming Scheme', 36.0)"
Karakoram Enclave 1,781.0,"('Karakoram Enclave 1', 781.0)"
Dhabeji,371.0,"('Dhabeji', 371.0)"
Blue Bell Residency,242.0,"('Blue Bell Residency', 242.0)"
Rasheed Nagar,1193.0,"('Rasheed Nagar', 1193.0)"
Tarogill,1424.0,"('Tarogill', 1424.0)"
Baba Fareed Road,184.0,"('Baba Fareed Road', 184.0)"
"Rawalpindi, Punjab",1203.0,"('Rawalpindi, Punjab', 1203.0)"
Rehman Housing Society,1213.0,"('Rehman Housing Society', 1213.0)"
Al Jameel Housing Scheme,71.0,"('Al Jameel Housing Scheme', 71.0)"
Qamar Garden,1155.0,"('Qamar Garden', 1155.0)"
Officer Colony,1073.0,"('Officer Colony', 1073.0)"
Makkah Commercial Market,906.0,"('Makkah Commercial Market', 906.0)"
Airport Avenue Housing Society,50.0,"('Airport Avenue Housing Society', 50.0)"
Country Homes,335.0,"('Country Homes', 335.0)"
Divine Homes,407.0,"('Divine Homes', 407.0)"
Kacha Lawrence Road,758.0,"('Kacha Lawrence Road', 758.0)"
Heir,652.0,"('Heir', 652.0)"
Kahuta Road,765.0,"('Kahuta Road', 765.0)"
Saadat Avenue,1242.0,"('Saadat Avenue', 1242.0)"
Rawat Industrial Estate,1206.0,"('Rawat Industrial Estate', 1206.0)"
Dhok Chaudhrian,378.0,"('Dhok Chaudhrian', 378.0)"
Lalazar 2,867.0,"('Lalazar 2', 867.0)"
Kingdom Valley Islamabad,825.0,"('Kingdom Valley Islamabad', 825.0)"
Sikandar Road,1361.0,"('Sikandar Road', 1361.0)"
Rehman Pura,1215.0,"('Rehman Pura', 1215.0)"
Pakistan Intelligence Bureau Housing Society,1107.0,"('Pakistan Intelligence Bureau Housing Society', 1107.0)"
Askari 5,161.0,"('Askari 5', 161.0)"
Zaman Park,1498.0,"('Zaman Park', 1498.0)"
Marir Hassan,932.0,"('Marir Hassan', 932.0)"
Gujjar Colony,554.0,"('Gujjar Colony', 554.0)"
Banni Chowk,215.0,"('Banni Chowk', 215.0)"
Mominpur,976.0,"('Mominpur', 976.0)"
Gulistan-e-Malir,575.0,"('Gulistan-e-Malir', 575.0)"
Bethsaida Colony,225.0,"('Bethsaida Colony', 225.0)"
Dhok Babu Irfan,377.0,"('Dhok Babu Irfan', 377.0)"
Beadon Road,220.0,"('Beadon Road', 220.0)"
Jarahi,728.0,"('Jarahi', 728.0)"
Kala Khatai Road,768.0,"('Kala Khatai Road', 768.0)"
Nabha Road,1006.0,"('Nabha Road', 1006.0)"
Sadaat Town,1247.0,"('Sadaat Town', 1247.0)"
Mohlanwal Scheme,973.0,"('Mohlanwal Scheme', 973.0)"
Shahra-e-Jahangir,1323.0,"('Shahra-e-Jahangir', 1323.0)"
Rasool Nagar,1195.0,"('Rasool Nagar', 1195.0)"
Akalgarh,57.0,"('Akalgarh', 57.0)"
Lahore Villas,858.0,"('Lahore Villas', 858.0)"
Dijkot Road,403.0,"('Dijkot Road', 403.0)"
Ali Abad,105.0,"('Ali Abad', 105.0)"
Rehman Park,1214.0,"('Rehman Park', 1214.0)"
Ahlu Road,38.0,"('Ahlu Road', 38.0)"
Ahmed Town,43.0,"('Ahmed Town', 43.0)"
Bilal Road,236.0,"('Bilal Road', 236.0)"
Embassy Road,435.0,"('Embassy Road', 435.0)"
Khayaban-e-Iqbal,811.0,"('Khayaban-e-Iqbal', 811.0)"
Erum Villas,438.0,"('Erum Villas', 438.0)"
Eid Gah Road,432.0,"('Eid Gah Road', 432.0)"
Mian Aziz Garden,952.0,"('Mian Aziz Garden', 952.0)"
Chauburji,301.0,"('Chauburji', 301.0)"
Abbaspur,12.0,"('Abbaspur', 12.0)"
Farid Court Road,466.0,"('Farid Court Road', 466.0)"
Khawaja Ahmed Hassan Road,803.0,"('Khawaja Ahmed Hassan Road', 803.0)"
Raja Park,1184.0,"('Raja Park', 1184.0)"
Hudiara,661.0,"('Hudiara', 661.0)"
Gulshan-e-Rehman,606.0,"('Gulshan-e-Rehman', 606.0)"
Humaira Town,662.0,"('Humaira Town', 662.0)"
Lower Canal Road,887.0,"('Lower Canal Road', 887.0)"
Abdullah Town,20.0,"('Abdullah Town', 20.0)"
Engineering Co-operative Housing (ECHS),437.0,"('Engineering Co-operative Housing (ECHS)', 437.0)"
Model Town Humak,965.0,"('Model Town Humak', 965.0)"
Katar Bund Road,791.0,"('Katar Bund Road', 791.0)"
Marir,931.0,"('Marir', 931.0)"
NHA Housing Society,1004.0,"('NHA Housing Society', 1004.0)"
Central Avenue,274.0,"('Central Avenue', 274.0)"
Al-Raziq Garden,100.0,"('Al-Raziq Garden', 100.0)"
Haji Chowk,630.0,"('Haji Chowk', 630.0)"
Dhok Piran Faqiran,389.0,"('Dhok Piran Faqiran', 389.0)"
Gulshan View Residence Society,584.0,"('Gulshan View Residence Society', 584.0)"
Sitara Supreme City,1371.0,"('Sitara Supreme City', 1371.0)"
Airline Avenue,47.0,"('Airline Avenue', 47.0)"
Bahria Education & Medical City,197.0,"('Bahria Education & Medical City', 197.0)"
Tulspura,1446.0,"('Tulspura', 1446.0)"
Tulsa,1444.0,"('Tulsa', 1444.0)"
Gulshan-e-Ghazian,593.0,"('Gulshan-e-Ghazian', 593.0)"
Jalal Pura,715.0,"('Jalal Pura', 715.0)"
Rewaz Garden,1223.0,"('Rewaz Garden', 1223.0)"
National Garden Housing Scheme,1017.0,"('National Garden Housing Scheme', 1017.0)"
Dars Baray Mian,357.0,"('Dars Baray Mian', 357.0)"
H-8,624.0,"('H-8', 624.0)"
Shuja Road,1355.0,"('Shuja Road', 1355.0)"
New Samanabad,1051.0,"('New Samanabad', 1051.0)"
Maryam Town,934.0,"('Maryam Town', 934.0)"
Meharpura,946.0,"('Meharpura', 946.0)"
Al Masoom Town,75.0,"('Al Masoom Town', 75.0)"
Bankers Town,214.0,"('Bankers Town', 214.0)"
Gulzar E Ahbab Society,616.0,"('Gulzar E Ahbab Society', 616.0)"
Niamuana Bypass Road,1055.0,"('Niamuana Bypass Road', 1055.0)"
Khayaban-e-Manzoor,814.0,"('Khayaban-e-Manzoor', 814.0)"
CMH Road,255.0,"('CMH Road', 255.0)"
Mahmood Road,902.0,"('Mahmood Road', 902.0)"
PAF Residential Area,1088.0,"('PAF Residential Area', 1088.0)"
Gulshan-e-Riaz,607.0,"('Gulshan-e-Riaz', 607.0)"
Harchan Pura,644.0,"('Harchan Pura', 644.0)"
Sir Syed Road,1366.0,"('Sir Syed Road', 1366.0)"
Khawaja Gardens,804.0,"('Khawaja Gardens', 804.0)"
Hazara Colony,650.0,"('Hazara Colony', 650.0)"
Jamaluddin Afghani Road,719.0,"('Jamaluddin Afghani Road', 719.0)"
Damba,354.0,"('Damba', 354.0)"
Meraj Park,950.0,"('Meraj Park', 950.0)"
Saraich,1285.0,"('Saraich', 1285.0)"
Crescent Town,336.0,"('Crescent Town', 336.0)"
Kohati Bazar,828.0,"('Kohati Bazar', 828.0)"
Gulshan-e-Zaheer Colony,614.0,"('Gulshan-e-Zaheer Colony', 614.0)"
Gulnishan Park,576.0,"('Gulnishan Park', 576.0)"
SMD Homes,1241.0,"('SMD Homes', 1241.0)"
Karachi Golf City,777.0,"('Karachi Golf City', 777.0)"
Rana Shaukat Mehmood Road,1187.0,"('Rana Shaukat Mehmood Road', 1187.0)"
Canal View Hosuing Scheme,265.0,"('Canal View Hosuing Scheme', 265.0)"
Begum Kot,224.0,"('Begum Kot', 224.0)"
Mangopir,923.0,"('Mangopir', 923.0)"
Al-Hafeez Garden Road,86.0,"('Al-Hafeez Garden Road', 86.0)"
PAF Colony,1086.0,"('PAF Colony', 1086.0)"
Mateen Garden,938.0,"('Mateen Garden', 938.0)"
Wireless Residential Colony,1484.0,"('Wireless Residential Colony', 1484.0)"
Al Raheem Town,80.0,"('Al Raheem Town', 80.0)"
Sultan Colony,1388.0,"('Sultan Colony', 1388.0)"
Defence Fort,365.0,"('Defence Fort', 365.0)"
Malpur,917.0,"('Malpur', 917.0)"
Sihala Valley,1360.0,"('Sihala Valley', 1360.0)"
Jamia Masjid Road,721.0,"('Jamia Masjid Road', 721.0)"
Samanzar Colony,1271.0,"('Samanzar Colony', 1271.0)"
Shahra-e-Liaquat,1324.0,"('Shahra-e-Liaquat', 1324.0)"
Sundar,1391.0,"('Sundar', 1391.0)"
