location,p_counts,min_price,max_price,mean_price
Nishtar Colony,155,1700000,16000000,5835987.096774193
Nizamabad,5,3150000,11000000,5690000.0
Noor Jahan Road,2,8200000,30000000,19100000.0
OPF Housing Scheme,50,4690000,40000000,23386800.0
Officer Colony,2,8000000,18500000,13250000.0
Omega Homes,38,1990000,4490000,3950000.0
Outfall Road,9,6000000,17500000,13666666.666666666
P & D Housing Society,12,10500000,52500000,20983333.333333332
PAF Colony,3,21000000,50000000,35333333.333333336
PAF Society,2,13500000,51500000,32500000.0
PASSCO Housing Society,7,18500000,91500000,33642857.14285714
PCSIR Housing Scheme,131,6500000,179000000,37892366.41221374
PCSIR Staff Colony,22,6500000,35000000,19372727.272727273
PIA Housing Scheme,202,9500000,45000000,24932673.26732673
PIA Main Boulevard,4,9000000,24000000,17625000.0
Pak Arab Housing Society,429,3500000,40000000,13841025.641025642
Pak Park,8,3500000,5500000,4512500.0
Pakki Thatti,10,3600000,38000000,14620000.0
Palm Villas,24,3400000,22500000,7276250.0
Paragon City,574,5000000,225000000,15619337.979094077
Park View Villas,274,7500000,26000000,11375638.686131386
Peco Road,24,2500000,49600000,10212500.0
Peer Colony,4,7500000,15000000,10625000.0
Pine Villas,2,17500000,26000000,21750000.0
Pir Naseer,5,2950000,6700000,4320000.0
Poonch Road,7,6000000,30000000,20071428.57142857
Prem Nagar,1,3500000,3500000,3500000.0
Prime Homes 1,32,3800000,8000000,6462500.0
Public Health Society,3,2200000,12500000,8566666.666666666
Punjab Coop Housing Society,247,6200000,42500000,17903643.724696357
Punjab Govt Employees Society,190,6500000,80000000,24506315.789473683
Punjab Govt Servant Society,38,6500000,31000000,10900000.0
Punjab Small Industries Colony,52,4500000,27500000,11430769.23076923
Punjab University Employees Society,53,6500000,240000000,17741509.433962263
Qadri Colony,6,3200000,8700000,5800000.0
Qasurpura,2,4500000,6200000,5350000.0
Qazi Town,5,4100000,9000000,5860000.0
Qilla Gujjar Singh,5,10000000,70000000,35400000.0
Queens Road,5,15500000,77500000,46600000.0
Race Course Road,5,12000000,30000000,25800000.0
