location,Property_counts,mean_price,min_price,max_price
Rehman Villas,3,10283333.333333334,5500000,13000000
Rehmanpura (Ferozpur Road),3,13537837.837837838,8500000,37500000
Rehmanpura (Harbanspura),3,18000000.0,8000000,28000000
Revenue Society,2,22961956.52173913,8500000,65000000
Rewaz Garden,2,7000000.0,7000000,7000000
Rifle Range Road,2,23440000.0,11000000,65000000
Ring Road,2,22887500.0,2000000,150000000
River View Coop Housing Society,2,39750000.0,24500000,55000000
Riwaz Garden,2,18353333.333333332,1700000,46500000
Rizwan Garden Scheme,2,9480000.0,3800000,31000000
Royal Garden,2,9600000.0,8000000,11500000
Royal Residencia,2,11875000.0,6500000,18500000
Rustam Park,2,7877272.7272727275,3800000,45000000
Saadat Avenue,2,9500000.0,9500000,9500000
Saadi Park,2,2800000.0,2800000,2800000
Sabzazar Scheme,2,13447693.92033543,1800000,120000000
Sadaat Town,2,15000000.0,9900000,45000000
Saggian,2,4316666.666666667,2700000,6500000
Saggian Wala Bypass Road,2,11691666.666666666,2450000,45000000
Sahafi Colony,2,18400000.0,9500000,30000000
Saiden Shah Colony,2,9640909.090909092,4000000,26000000
Saidpur,2,5337500.0,3300000,9500000
Sajid Garden,2,10495833.333333334,5800000,19000000
Salamatpura,2,6522580.645161291,2450000,16000000
Salli Town,2,13084615.384615384,4000000,20000000
Sally Town South,2,14000000.0,6500000,20000000
Saman Berg,2,32166666.666666668,27500000,36500000
Samanabad,2,12291120.401337793,2000000,77000000
Samanzar Colony,2,3700000.0,3700000,3700000
Sami Town,2,10092500.0,5000000,38000000
Samsani Road,2,8500000.0,8500000,8500000
Sanda,2,9907692.307692308,2200000,29000000
Sanda Road,2,10780000.0,3200000,22500000
Sant Nagar,2,18527272.727272727,3500000,95000000
Saqib Town,2,13166666.666666666,5500000,26500000
Saraich,2,6000000.0,6000000,6000000
Saroba Gardens Housing Society,2,14000000.0,12500000,15000000
Sarwar Town,2,3735714.285714286,3000000,7500000
Shadab Garden,2,8162057.471264368,2999000,15500000
Shadbagh,2,15136842.105263159,1550000,120000000
Shadipura,2,4362500.0,2400000,9000000
Shadman 1,2,59827586.20689655,4200000,182000000
Shadman 2,2,78150000.0,12500000,300000000
Shah Di Khoi,2,10050000.0,8200000,13000000
Shah Faisal Road,2,9010000.0,6300000,17600000
Shah Jamal,2,26226543.209876545,1650000,200000000
Shah Kamal Road,2,7605882.352941177,3800000,20500000
Shah Khawar Town,2,12100000.0,9900000,15000000
Shahdara,2,9551076.923076924,1300000,400000000
Shahkam Chowk,2,8248750.0,2395000,15000000
Shahpur Kanjra,2,4533333.333333333,3500000,6500000
Shahtaj Colony,2,18000000.0,18000000,18000000
Shalimar Housing Scheme,2,14968421.05263158,4800000,120000000
Shalimar Link Road,2,15045324.324324325,1027000,70000000
Shalimar Town,2,8417741.935483871,2000000,30000000
Sham Nagar,2,12501666.666666666,2800000,40000000
