location,Property_counts,mean_price,min_price,max_price
Shalley Valley,1,5921500.0,6000,35000000
Shams Abad,1,7190846.153846154,15000,25000000
Sher Zaman Colony,1,13194628.57142857,22000,78000000
Sir Syed Chowk,1,8800000.0,4500000,12000000
Sir Syed Road,1,8800000.0,8800000,8800000
Stadium Road,1,18666666.666666668,14500000,24000000
T & T Colony,1,15000.0,15000,15000
Taj Residencia,1,10000000.0,10000000,10000000
Takht Pari,1,65000.0,65000,65000
Tali Mori,1,4165000.0,25000,8500000
Tench Bhata,1,3656974.358974359,10000,15500000
Tench Road,1,7135500.0,13000,12000000
Tipu Road,1,5367428.571428572,12000,15000000
Transformer Chowk,1,5530533.333333333,16000,11500000
Tulsa,1,8341666.666666667,25000,22500000
Tulsa Road,1,10190792.792792793,13000,32500000
Wah Link Road,1,5566666.666666667,4700000,6500000
Walait Homes,1,9756875.0,25000,17500000
Waris Khan,1,9308333.333333334,25000,20000000
Wazir Town,1,6658333.333333333,3600000,10000000
Westridge,1,19154100.0,10000,160000000
Wireless Residential Colony,1,30000000.0,30000000,30000000
Yousaf Colony,1,5619285.714285715,15000,14000000
Zafar ul Haq Road,1,8000000.0,8000000,8000000
Zeeshan Colony,1,9933333.333333334,8500000,12000000
